no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
226,맛좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
227,약간 순한면서 청량감이 있음,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,112,103,
228,먹기좋음,마시기 편하다,,,613,,
229,입 안 가득 퍼지는 풍미,풍미가 좋다,,,533,,
230,맛도 괜찮고 캔 디자인도 마음에 든다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,디자인이 좋다,,107,254,
231,톡쏘는 맛이 신선하고 개운하다,톡 쏘는 맛이 있다,맛이 신선하다,맛이 개운하다 ,104,52,122
232,흑맥주의 대표브랜드로 맛이 부드럽고 목넘김이 좋으며 맥주의 깊은 맛이 살아있다,맥주의 대표 브랜드이다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,546,112,173
233,맥주의 맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
234,부드럽고 목넘김이 좋다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,,112,173,
235,국내에서 마실 수 있는 캔맥주의 맛은 천편일률적인데 맥스는 그와 다른 맛을 느낄 수 있다.,맛이 독특하다/맛이 차별화됐다,,,117,,
236,깔끔한 맛이 인상적이여서 좋다.  탄산도 적당히 시원하다는 느낌이 들 정도로 있어서 좋다.,맛이 깔끔하다,탄산이 적당하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,102,110,103
237,거품 맛있어,거품 맛이 좋다/크림이 맛있다,,,55,,
238,가장 좋아하는 맥주이기 때문에.,선호하는 제품이다,,,4,,
239,부드러운 맛으로 제품을 좋아함,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
240,가장 찾기 쉬워서,대중적/보편적이다,,,22,,
241,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
242,해외축구를 많이 접하다보니 광고가 많이 노출되어있다.  그리고 맛도 괜찮다.,처음 UEFA Champions League의 스폰서를 맡았다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,473,107,
243,상쾌한 맛,맛이 산뜻하다/맛이 상큼하다,,,118,,
244,"먹어도 살찌지 않는다는 광고와 도수가 쎄지안은듯함.  많이 마셔도 별로 취하는걸 못느낌,그냥 탄산이 쎈음료같아서",칼로리가 적다/다이어트에 좋다,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,46,84,84
245,맛이 달달하여서,달콤하다/꿀맛이 난다,,,108,,
246,끝맛이 깔끔하다,뒷맛이 깔끔하다,,,153,,
247,"맥주병이나 캔의 디자인, 깔끔한 맛, 독자적인 브랜드 가치, 참신한 광고",디자인이 좋다,맛이 깔끔하다,브랜드 가치가 있다,254,102,33
248,끝맛과 목넘김이 좋다.,뒷맛이 좋다,목 넘김이 좋다 ,,151,173,
249,내 입맛에 잘 맞고 맥주 이름이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,브랜드 명이 예쁘다/브랜드 명이 좋다/상표가 매력적이다/상표가 귀엽다/브랜드 어감이 좋다,,107,370,
250,"녹색 병의 디자인, 부드러운 맛",색상이 예쁘다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,281,112,
251,발음이 상쾌해서,브랜드 명이 시원할 것 같다/상표가 시원하다,,,373,,
252,부드러움과 따로 컵이 있다는 그 레어,부드럽다,따라 먹는 잔이 따로 있다/전용컵이 있다,,14,162,
253,깔끔하다,깔끔하다,,,1,,
254,맛이좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
255,가격이 싸면서 먹을만하다.,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,11,107,
256,맛이 깊고 목넘김이 부드럽다.,맛이 풍부하다/맛이 깊다,목 넘김이 부드럽다 ,,70,171,
257,레몬맛을 좋아하는데 음료수같기도 하고 목넘김이 좋아서,레몬 맛이 난다,음료수란 느낌이 난다/음료 대용으로 좋다,목 넘김이 좋다 ,111,35,173
258,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
259,"탄산이 없고, 부드러운 크림맛이 일품",탄산이 적다/탄산이 강하지 않다,거품이 부드럽다,,75,183,
260,예전에 눈으로 마신다라는 광고가 아직도 인상에 남아있어서 그렇습니다.,광고가 강렬하다/광고가 B602기억에 남는다,,,403,,
261,맛 보다 이미지..,느낌이 좋다,,,9,,
262,목넘김이 좋고 산뜻한 끝맛이 좋음,목 넘김이 좋다 ,뒷맛이 산뜻하다,,173,591,
263,여러가지 맥주를 먹어 보았는데 하이네켄이 깔끔하고 맥주맛이 강하게 나서 개인적으로 좋아합니다.,맛이 깔끔하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,102,115,
264,달아요,달콤하다/꿀맛이 난다,,,108,,
265,특유의 탄산의 쏘는 맛이 강해서 좋아합니다.,탄산이 풍부하다,,,61,,
266,개운한 맛,맛이 개운하다 ,,,122,,
267,카스라이트는 맛이 깔끔하고 시원하다. 좋아하는 다른 맥주에는 특유의 향이 있어 기분에 따라 좋을때가 있고 나쁠때가 있지만 카스는 베이직한 맛이 있어 좋아한다. 상표자체의 디자인에 있어서는 보통이지만 기본적으로 맛에 의해 선택한다.,맛이 깔끔하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 무난하다,102,103,58
268,가장 대중적으로 많이 알고 있으므로,대중적/보편적이다,,,22,,
269,맥주지만 약간 높은 도수가 좋다,도수가 높다/빨리 취해서 좋다,,,610,,
270,생맥주로 많이 먹음,생맥주로도 즐길 수 있다,,,619,,
271,깔끔하고 목넘김이 좋다..,맛이 깔끔하다,목 넘김이 좋다 ,,102,173,
272,"지나치게 톡 쏘지도 않으면서 맥주보리의 맛이 시원하게 나고, 물맛이 좋다. 맛이 씁슬하지 않다는 점도 장점이다.",톡 쏘지 않아 좋다/톡 쏘는 맛이 지나치지 않다,보리 맛이 시원하다,물이 청결하다/물이 다르다/암반수로 만든다,121,923,44
273,가장 신선하고 시원한 느낌,신선하다,시원하다,,217,2,
274,"다양한 맛, 낮은 도수",맛이 다양하다,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,,114,84,
275,마시고 느낌이 깔끔하고 상쾌해서 특히 살짝 얼린 코로나는 더욱 맛있습니다.  거기에 레몬을 같이 먹으면 음....,맛이 깔끔하다,맛이 산뜻하다/맛이 상큼하다,레몬을 넣어 마시면 좋다/레몬과 잘 어울린다,102,118,195
276,맛이 좋다보니 상표도 좋아짐,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
277,거품. 향,거품 맛이 좋다/크림이 맛있다,향이 좋다,,55,204,
278,고급스러움. 맛의 질,고급스럽다,맛이 고급스럽다,,15,64,
279,깔끔해서,깔끔하다,,,1,,
280,풍부한거품,거품이 많다/거품이 풍부하다/거품 맛이 진하다,,,67,,
281,자주 마시던 맥주이므로.. 가장 친숙하고 익숙하다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,3,3,
282,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
283,맥주 맛이 조아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
284,시원한 청량감이 있어서,시원하다,,,2,,
285,"크리미한 거품과 진한 흑맥주의 맛, 한잔을 다 비울때까지 사라지지 않는 거품기술",거품이 부드럽다,진한 흑맥주의 맛이다,거품이 오래간다,183,73,526
286,맛이 좋고 가장 대중적이어서 술자리에서 주로 시키게 되는 편이다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,대중적/보편적이다,,107,22,
287,맛도 그렇게 떨어지지 않지만 칼로리가 적다고 해서 조금이라도 살 찌지 않는데 도움이 될것 같아서 즐겨 마심,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,칼로리가 적다/다이어트에 좋다,,107,46,
288,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
289,맛이 부드럽고 다른 맥주와 달리 독특한 향과 맛이 있어서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,향이 독특하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,112,202,107
290,이유없음,없음,,,998,,
291,톡쏘는 청량감과 깨끗함,톡 쏘는 맛이 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 깔끔하다,104,103,102
292,카스가 맥주중에 제일 맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
293,맛때문에,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
294,특유의 깊고 진한맛,맛이 풍부하다/맛이 깊다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,70,115,
295,맛이 깔끔하다.,맛이 깔끔하다,,,102,,
296,톡소는 맛을 느끼게 해줘서,톡 쏘는 맛이 있다,,,104,,
297,시원한 맛,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,,103,,
298,기네스 생맥주를 좋아하는데 기본 흑맥주를 좋아하고 생맥주의 크림과 맥주 맛을 좋아한다,브랜드가 좋다/브랜드 이미지가 좋다,흑맥주를 좋아한다,거품 맛이 좋다/크림이 맛있다,19,69,55
299,"카스는 다른 것에 비해 맛이 고소하고, 목넘김이 좋다",맛이 고소하다,목 넘김이 좋다 ,,116,173,
300,맛있습니다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
301,그냥 좋아서,모름,,,999,,
302,맥스를 좋아하기 때문에,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
303,상쾌함,시원하다,,,2,,
304,맛이 좋은 맥주로 기억되기 때문,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
305,친근하기때문에,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
306,상큼한맛 향,맛이 산뜻하다/맛이 상큼하다,향이 산뜻하다,,118,235,
307,맛있어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
308,자주먹진않지만 흑맥주를 선호하는편이고 입안에 촥감기는맛이  흑맥주에 끌리는이유라 생각합니다,흑맥주를 좋아한다,감칠 맛이 좋다,,69,53,
309,시원하고 끝이 깔끔한 맛이 좋다.  그리고 광고를 많이 해서 일단 눈이 간다.  캔으로 먹을때는 카스를 제일 먼저 찾게된다.,맛이 시원하다/맛이 상쾌하다/청량감이 있다,뒷맛이 깔끔하다,광고를 많이 한다,103,153,302
310,친구가 한번 권유해서 마셔보았는데 100%보리로만 만들어져   다른것에 비해 목넘김이 더욱 부드러웠던것같음,주변에서 추천하는 맥주다,보리100%/보리로 만들었다,목 넘김이 부드럽다 ,179,706,171
311,친근하고 깔끔하다. 무난하다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,깔끔하다,무난하다,3,1,23
312,레몬이 들어있어서 다른 맥주보다 더 맛있다,레몬 맛이 난다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,111,107,
313,맛이 깔끔하다,맛이 깔끔하다,,,102,,
314,카스에비해 맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
315,순하고 칼로리가 적게 나가서,순하다,칼로리가 적다/다이어트에 좋다,,39,46,
316,"목넘김이 부드럽고, 보리향이 진해서 좋아합니다.",목 넘김이 부드럽다 ,보리 향이 풍부하다,,171,224,
317,맛이 가장 좋음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
318,병맥주를 즐겨 마시는 편인데  카프리가 싼편이며 병따기가 간편하고(돌려서)  내가 생각하는 맥주맛과 같아서,가격이 저렴하다 ,돌려서 딸 수 있다/뚜껑을 따기 쉽다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,11,605,107
319,마셨을때 시원하고 목넘김이 부드러움,맛이 시원하다/맛이 상쾌하다/청량감이 있다,목 넘김이 부드럽다 ,,103,171,
320,맛있어서 좋아함.KGB 레몬을 좋아합니다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
321,부드러운 거품과 보리의 깊은맛때문에,거품이 부드럽다,보리 맛이 풍부하다,,183,918,
322,맛있음. 여러가지 맛이있어서 음료처럼 즐길수있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 다양하다,음료수란 느낌이 난다/음료 대용으로 좋다,107,114,35
323,한국맛,한국인의 입맛에 맞는다,,,68,,
324,깔끔한 맛,맛이 깔끔하다,,,102,,
325,자주 마시는 흑맥주,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,흑맥주를 좋아한다,,3,69,
326,일단 맛이 깊고 좀더 씁쓸한 느낌이 좋다.  항상 가는 술집에 술잔이 카스 맥주잔이고 친구들도 다 카스 맥주를 많이 먹는다.  제일 맛있는것같다.,맛이 풍부하다/맛이 깊다,맛이 쌉싸름하다,대중적/보편적이다,70,113,22
327,무엇보다 맛이 진하고 마실때마다 다시 먹고 싶어서,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,중독성이 있다,,115,431,
328,느낌이 좋다,느낌이 좋다,,,9,,
329,우리나라대표상표라고생각합니다,맥주의 대표 브랜드이다,,,546,,
330,보드카와 레몬으로 상큼하고 깔끔한 맛에 많이 찾는다!,보드카라서 좋다,레몬을 넣어 마시면 상큼하다 ,레몬을 넣어 마시면 깔끔하다 ,749,191,192
331,입맛에 맞아서 가장많이 마셔왔던 상표이기때문이다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,107,3,
332,탄산이 많지 않다,탄산이 적다/탄산이 강하지 않다,,,75,,
333,친구들이 자주 권해서,주변에서 추천하는 맥주다,,,179,,
334,흑맥주를 좋아하는데요 스타우트의 흑맥주가 부드럽고 맛있어서 좋아합니다,흑맥주를 좋아한다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,69,112,107
335,"맛이 쓰지 않고 괜찮고, 가격이 적당하다고 생각됩니다.",쓴 맛이 덜 하다,가격이 합리적이다,,119,451,
336,탄산이 부드럽고 쓴맛이 덜함. 맛이 깔끔함.,탄산이 부드럽다,쓴 맛이 덜 하다,맛이 깔끔하다,945,119,102
337,맛이 구수하고 국산 맥주이기때문에 값이 비교적 싸다,맛이 고소하다,국산 브랜드이다,가격이 저렴하다 ,116,371,11
338,국산맥주에서 느낄수 없는 특유의 맥주향이 느껴져서 좋다  국산 맥주는 끝맛이 약간 밍밍한데 호가든은 특유의 씁슬한 향이 코로 올라올때 굉장히 고소해서 매력이 있다.,맥주 특유의 향이 살아있다,향이 쌉쌀하다,향이 고소하다,209,956,233
339,달콤함을가진 음료같으면서도    알콜을가지고있는 묘미,달콤하다/꿀맛이 난다,,,108,,
340,레몬향이 나면서도 맥주맛이 나서 좋다,레몬 향이 있다,맥주 기본/특유의 맛이 잘 살아있다,,208,54,
341,시원하다,시원하다,,,2,,
342,맥주의 맛 특히 거품이 정말 맛있습니다.,거품 맛이 좋다/크림이 맛있다,,,55,,
343,색감이 좋고 광고자체가 산뜻해서 기억에 남음,색상이 예쁘다,광고가 상큼하다,광고가 강렬하다/광고가 B602기억에 남는다,281,908,403
344,부드럽고 맥주특유의 맛이 많이 나서 좋은거 같다.,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맥주 기본/특유의 맛이 잘 살아있다,,112,54,
345,시원한 맥주의 느낌을 표현해주어서,시원하다,,,2,,
346,맛도 있거니와 광고모델이 정우성이라서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,광고 모델이 좋다 ,,107,303,
347,qvqvwfv,불량응답,,,0,,
348,톡쏘는 특유의 맛,톡 쏘는 맛이 있다,,,104,,
349,톡쏘는 맛이 강하면 목넘김이 시원하다,톡 쏘는 맛이 있다,목 넘김이 시원하다,,104,175,
350,맛이 진하고 뒷맛이 깔끔하다.,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,뒷맛이 깔끔하다,,115,153,
351,맛이 깔끔하고 레몬향이 좋아서,맛이 깔끔하다,레몬 향이 있다,,102,208,
352,깔끔하고 시원한맛,맛이 깔끔하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,102,103,
353,제조맥주와 비슷한 맛  다른맥주와의 맥주 맛의 차별성  특유의 향,수제의 느낌이 살아있다,맛이 독특하다/맛이 차별화됐다,맥주 특유의 향이 살아있다,649,117,209
354,맥자구 맛잇어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
355,목넘김이 좋다,목 넘김이 좋다 ,,,173,,
356,병맥주로 마시기가 편하고 맛이 있음,병이라 마시기 편하다/병째 마시기 편하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,17,107,
