no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
158,부드럽고 목넘김이 타 맥주에 비해 나한테 잘 맞다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,,112,173,
159,광고효과와 시원함.,광고가 좋다/광고 이미지가 좋다,시원하다,,301,2,
160,원빈이 광고를 하여 이미지의 호감도가 상승하였고 시음시 깔끔한 느낌이 좋습니다.,광고 모델이 좋다 ,맛이 깔끔하다,,303,102,
161,역사가 깊음,전통 있다,,,366,,
162,마셨을때 목넘김이 제일 좋은 맥주,목 넘김이 좋다 ,,,173,,
163,상표를 좋아해서 라기보단 카스 술 자체를 좋아 하는 것 입니다,브랜드가 좋다/브랜드 이미지가 좋다,,,19,,
164,톡쏘는맛이 좋음...,톡 쏘는 맛이 있다,,,104,,
165,상큼해보임,상큼하다/산뜻하다,,,29,,
166,저칼로리 깔끔한맛,칼로리가 적다/다이어트에 좋다,맛이 깔끔하다,,46,102,
167,알코올 맛이 덜하고 음료수 같은 느낌이 있어서 마실때 잘 넘어가므로    개인적으로 제일 좋아함.,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,음료수란 느낌이 난다/음료 대용으로 좋다,목 넘김이 좋다 ,84,35,173
168,카스의 무겁고 톡쏘는 맛을 아주 좋아한다,무거운 맛이 좋다,톡 쏘는 맛이 있다,,412,104,
169,가장 대중적이고 입맛에 맞다,대중적/보편적이다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,22,107,
170,맛이 부드럽다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
171,맥주 하면 하이트만 먹어서..^^,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
172,호가든벨기에 맥주를 먹어봤는데  오렌지향이 나면서 목넘김이 부드러웠음,과일 향이 난다,목 넘김이 부드럽다 ,,77,171,
173,목넘김이 부드럽다,목 넘김이 부드럽다 ,,,171,,
174,맥주맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
175,일단 내입맛이 맞다.  그리고 회사회식땐 모두 카스를 먹는다.  CF의 영향도 큰거같다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,주변 사람들과 함께 마시기 좋다,광고가 좋다/광고 이미지가 좋다,107,831,301
176,카스가 그냥 맛이좋아요,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
177,맨날 먹어서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
178,옛날부터 계속 애용해오고있는 맥주이며 약간 씁슬한 맛이 좋으며 목 넘긴  맛이 좋아요,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 쌉싸름하다,목 넘김이 좋다 ,3,113,173
179,먹어본 중에 제일 맛있습니다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
180,맥주 맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
181,맛이 독특하고 맛있다,맛이 독특하다/맛이 차별화됐다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,117,107,
182,맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
183,무난하게 좋음,무난하다,,,23,,
184,제일 무난함,무난하다,,,23,,
